Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,PHI,NBA,SF,65.0,1377.0,8.7,0.47,0.443,0.548,3.7,12.3,7.8,9.4,1.5,4.0,16.3,16.5,-0.9,1.4,0.5,0.019,-3.9,0.6,-3.3,-0.5
2015-16,21.0,PHI,NBA,PF,77.0,2066.0,12.6,0.506,0.244,0.538,5.0,14.3,9.5,10.4,1.3,4.7,12.9,18.0,0.5,1.6,2.1,0.05,-2.1,0.4,-1.7,0.1
2016-17,22.0,TOT,NBA,PF,80.0,1531.0,10.1,0.556,0.354,0.448,2.7,12.1,7.4,4.2,1.1,4.1,10.1,12.1,1.1,1.8,2.9,0.091,-2.1,0.8,-1.3,0.3
2016-17,22.0,PHI,NBA,PF,2.0,41.0,3.0,0.39,0.118,0.471,0.0,16.2,8.1,0.0,0.0,7.7,12.8,24.9,-0.2,0.0,-0.1,-0.144,-8.0,-0.3,-8.3,-0.1
2016-17,22.0,OKC,NBA,PF,78.0,1490.0,10.3,0.566,0.367,0.447,2.8,12.0,7.4,4.3,1.1,4.0,9.9,11.8,1.3,1.7,3.0,0.098,-1.9,0.9,-1.1,0.4
2017-18,23.0,OKC,NBA,PF,81.0,1647.0,16.2,0.607,0.241,0.526,5.6,16.3,10.7,5.1,0.9,4.2,8.8,16.0,3.5,1.9,5.4,0.156,0.0,0.3,0.3,1.0
2018-19,24.0,OKC,NBA,PF,80.0,2612.0,13.8,0.592,0.356,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4.0,3.3,7.3,0.134,-0.4,0.6,0.2,1.5
2019-20,25.0,DEN,NBA,PF,71.0,1892.0,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7
2020-21,26.0,DET,NBA,SF,54.0,1829.0,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,1.6,1.6,3.2,0.083,2.0,-1.2,0.9,1.3
2021-22,27.0,DET,NBA,PF,8.0,264.0,13.9,0.49,0.35,0.3,3.7,14.1,8.2,13.9,2.0,3.4,12.3,25.0,-0.1,0.2,0.1,0.021,-1.2,0.1,-1.1,0.1
Career,,,NBA,,516.0,13218.0,13.5,0.557,0.34,0.4,3.8,13.3,8.4,7.8,1.2,3.6,9.9,18.0,12.4,13.5,25.9,0.094,-0.8,0.1,-0.6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,239.0,5749.0,13.6,0.591,0.325,0.377,4.0,13.7,8.7,4.5,1.0,3.7,8.0,14.6,8.7,7.0,15.7,0.131,-0.7,0.6,-0.1,2.8
3 seasons,,PHI,NBA,,144.0,3484.0,11.0,0.491,0.314,0.54,4.4,13.5,8.8,9.9,1.3,4.4,14.2,17.5,-0.6,3.1,2.5,0.035,-2.9,0.4,-2.4,-0.4
1 season,,DEN,NBA,,71.0,1892.0,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7
2 seasons,,DET,NBA,,62.0,2093.0,16.5,0.549,0.353,0.36,2.3,13.3,7.7,14.3,1.1,2.8,9.5,28.0,1.4,1.8,3.3,0.075,1.6,-1.0,0.6,1.3
