Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,24.0,HOU,NBA,PG,41.0,713.0,15.4,0.551,0.508,0.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,1.4,0.8,2.2,0.148,1.7,2.1,3.8,1.0
2013-14,25.0,HOU,NBA,PG,56.0,1751.0,12.4,0.545,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,2.7,1.6,4.2,0.116,-0.3,0.9,0.6,1.2
2014-15,26.0,HOU,NBA,PG,56.0,1727.0,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1.0,12.9,16.1,1.7,1.8,3.5,0.096,-0.4,0.5,0.1,0.9
2015-16,27.0,HOU,NBA,PG,71.0,2041.0,13.0,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,0.102,0.0,0.1,0.2,1.1
2016-17,28.0,HOU,NBA,SG,67.0,2058.0,13.0,0.546,0.53,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,0.123,-0.2,1.4,1.1,1.6
2017-18,29.0,LAC,NBA,SG,11.0,334.0,12.4,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2
2018-19,30.0,LAC,NBA,PG,78.0,2137.0,11.8,0.561,0.591,0.258,3.9,15.0,9.6,18.4,1.5,1.6,13.8,12.2,2.8,2.0,4.8,0.108,-0.3,1.2,0.9,1.5
2019-20,31.0,LAC,NBA,PG,51.0,1342.0,12.5,0.56,0.604,0.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,1.6,2.0,3.6,0.128,-0.3,2.5,2.2,1.4
2020-21,32.0,LAC,NBA,PG,37.0,832.0,12.0,0.58,0.641,0.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,1.0,1.0,2.1,0.119,-0.7,0.7,0.0,0.4
2021-22,33.0,MIN,NBA,PG,16.0,406.0,15.6,0.563,0.523,0.159,5.7,12.4,8.9,25.6,1.7,3.8,14.2,13.7,0.9,0.5,1.4,0.162,0.6,1.3,1.8,0.4
Career,,,NBA,,484.0,13341.0,12.6,0.547,0.56,0.176,4.6,12.2,8.4,17.5,2.0,1.4,13.6,14.5,18.1,13.7,31.8,0.114,-0.1,1.1,0.9,9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,291.0,8290.0,12.7,0.54,0.544,0.165,4.8,11.0,7.9,17.5,2.2,1.1,13.3,15.1,11.7,7.8,19.6,0.113,0.0,0.8,0.8,5.9
4 seasons,,LAC,NBA,,177.0,4645.0,12.1,0.561,0.596,0.201,4.2,14.2,9.4,16.9,1.7,1.8,14.3,13.5,5.5,5.4,10.8,0.112,-0.4,1.5,1.1,3.6
1 season,,MIN,NBA,,16.0,406.0,15.6,0.563,0.523,0.159,5.7,12.4,8.9,25.6,1.7,3.8,14.2,13.7,0.9,0.5,1.4,0.162,0.6,1.3,1.8,0.4
