Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,19.0,LAL,NBA,C,38.0,11.0,16.0,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5
2017-18,20.0,LAL,NBA,C,43.0,0.0,9.5,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.504,0.5,0.9,1.2,0.765,1.0,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7
2018-19,21.0,TOT,NBA,C,59.0,37.0,17.6,3.6,6.4,0.559,0.0,0.0,,3.6,6.4,0.559,0.559,1.7,2.1,0.802,1.9,4.2,6.1,1.1,0.2,0.9,1.2,2.3,8.9
2018-19,21.0,LAL,NBA,C,33.0,12.0,15.6,3.4,5.8,0.58,0.0,0.0,,3.4,5.8,0.58,0.58,1.7,2.0,0.864,1.6,3.3,4.9,0.8,0.1,0.8,1.0,2.2,8.5
2018-19,21.0,LAC,NBA,C,26.0,25.0,20.2,3.8,7.2,0.538,0.0,0.0,,3.8,7.2,0.538,0.538,1.7,2.3,0.733,2.3,5.3,7.7,1.5,0.4,0.9,1.4,2.5,9.4
2019-20,22.0,LAC,NBA,C,72.0,70.0,18.4,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.616,0.613,1.7,2.3,0.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3
2020-21,23.0,LAC,NBA,C,72.0,33.0,22.3,3.6,5.5,0.652,0.0,0.1,0.25,3.6,5.4,0.656,0.654,1.9,2.4,0.789,2.6,4.6,7.2,1.3,0.3,0.9,1.1,2.6,9.0
2021-22,24.0,LAC,NBA,C,11.0,11.0,24.3,3.7,5.6,0.661,0.0,0.0,,3.7,5.6,0.661,0.661,2.9,4.1,0.711,2.3,5.2,7.5,1.3,0.5,0.8,0.7,2.1,10.4
Career,,,NBA,,295.0,162.0,17.8,3.2,5.4,0.591,0.0,0.0,0.1,3.2,5.3,0.594,0.591,1.6,2.1,0.762,2.1,4.0,6.1,1.0,0.3,0.8,0.9,2.1,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAC,NBA,,181.0,139.0,20.6,3.5,5.7,0.617,0.0,0.0,0.167,3.5,5.6,0.62,0.618,1.9,2.4,0.758,2.6,4.8,7.4,1.2,0.3,0.9,1.0,2.4,8.9
3 seasons,,LAL,NBA,,114.0,23.0,13.5,2.6,4.9,0.541,0.0,0.0,0.0,2.6,4.8,0.545,0.541,1.1,1.5,0.771,1.2,2.7,3.9,0.7,0.2,0.7,0.8,1.6,6.4
